#Date,7-Aug-2024,,
#Station ,34,,
#antenna setup,"co-dropping RX [hole B], co-dropping Tx [hole A]",,
#measurement,"pulsing, absolute timing, depth measurement from top of hole (plywood cover removed) to top of Vpol frame",,
#Scope ch1,"20dB coupled input pulse to TX, scope averaging 1000 waveforms during measurement",,
#Scope ch3,RX ,,
#VNA setup,,,
#folder name,dropRXinNEhole_dropTXinNWhole_ST34_pulser,,
#hole A offset from top of hole [m],0.90,"estimated via RTK altitude survey of S and NW holes (0.94 specificialy, but 0.90 was subtracted in the depths here)",
#hole A offset from top of hole [m],0.00,,
#hole A,NW hole,,
#hole B,NE hole,,
#,,,
#hole A [m],hole B [m],filename [.csv],alternate_filename
1.03,1.01,SRF_T01,
2.02,2.01,SRF_T02,
3.02,3.01,SRF_T04,
4.02,4.01,SRF_T05,
5.00,5.00,SRF_T06,
6.02,6.00,SRF_T07,
7.03,7.00,SRF_T08,
8.03,8.00,SRF_T09,
9.01,9.00,SRF_T10,
10.01,10.01,SRF_T11,
11.30,11.00,SRF_T12,
12.01,12.01,SRF_T13,
13.02,13.01,SRF_T14,
14.02,15.01,SRF_T15,
15.03,15.03,SRF_T16,
16.02,16.00,SRF_T17,
17.02,17.01,SRF_T19,
18.02,18.01,SRF_T20,
19.03,19.00,SRF_T21,
20.03,20.01,SRF_T23,
21.03,21.01,SRF_T24,
22.04,22.02,SRF_T26,
23.03,23.01,SRF_T27,
24.00,24.00,SRF_T28,
25.02,25.01,SRF_T29,
26.01,26.00,SRF_T30,
27.03,27.00,SRF_T31,
28.02,28.01,SRF_T32,
29.02,29.02,SRF_T33,
30.02,30.01,SRF_T34,
31.02,31.01,SRF_T35,
32.01,32.00,SRF_T36,
33.03,33.00,SRF_T38,
34.04,34.02,SRF_T39,
35.02,35.02,SRF_T40,
36.03,36.00,SRF_T41,
37.03,37.01,SRF_T42,
38.01,38.03,SRF_T44,
39.02,39.00,SRF_T45,
40.02,40.01,SRF_T46,
41.05,41.02,SRF_T47,
42.03,42.02,SRF_T48,
43.04,43.02,SRF_T49,
44.00,44.01,SRF_T50,
45.03,45.01,SRF_T51,
45.04,45.00,SRF_T54,
46.03,46.01,SRF_T55,
47.06,47.02,SRF_T56,
48.04,48.00,SRF_T57,
49.03,49.01,SRF_T58,
50.00,50.00,SRF_T59,
51.03,51.02,SRF_T60,
52.01,52.01,SRF_T61,
53.02,53.00,SRF_T62,
54.04,54.01,SRF_T63,
55.03,55.01,SRF_T64,
56.03,56.00,SRF_T65,
57.03,57.01,SRF_T66,
58.04,58.00,SRF_T67,
59.02,59.01,SRF_T68,
60.05,60.00,SRF_T70,
61.01,61.00,SRF_T71,
62.04,62.00,SRF_T72,
63.03,63.00,SRF_T73,
64.02,64.00,SRF_T74,
65.05,65.01,SRF_T75,
66.00,66.00,SRF_T76,
67.03,67.02,SRF_T78,
68.02,68.04,SRF_T80,
69.00,69.01,SRF_T82,
70.03,70.01,SRF_T83,
71.04,71.01,SRF_T84,
72.04,72.00,SRF_T85,
73.01,73.01,SRF_T87,
74.02,74.00,SRF_T88,
75.01,75.01,SRF_T89,
76.03,76.01,SRF_T90,
77.04,77.05,SRF_T91,
78.02,78.00,SRF_T92,
79.01,79.00,SRF_T93,
80.01,80.00,SRF_T94,
81.00,81.01,SRF_T95,
82.01,82.00,SRF_T96,
83.01,83.02,SRF_T100,
84.05,84.00,SRF_T104,
85.00,85.01,SRF_T107,
86.03,86.03,SRF_T108,
87.00,87.00,SRF_T110,
88.01,88.00,SRF_T111,
89.05,89.01,SRF_T112,
90.02,90.00,SRF_T113,