#Date,5-Aug-2024,,
#Station ,35,,
#antenna setup,"co-raising RX [hole B], co-raising Tx [hole A]",,
#measurement,"pulsing, absolute timing, depth measurement from top of hole (plywood cover removed) to top of Vpol frame",,
#Scope ch1,"20dB coupled input pulse to TX, scope averaging 1000 waveforms during measurement",,
#Scope ch3,RX ,,
#VNA setup,,,
#folder name,,,
#hole A offset from top of hole [m],0.50,estimated via RTK altitude survey of S and NW holes,
#hole A offset from top of hole [m],0.00,,
#hole A,south hole,,
#hole B,NW hole,,
#,,,
#hole A [m],hole B [m],filename [.csv],alternate_filename
38.03,38.00,SRF_T01,
37.04,37.00,SRF_T02,
36.02,36.02,SRF_T03,
35.02,35.02,SRF_T04,
34.05,34.01,SRF_T05,
33.04,33.01,SRF_T06,
32.01,32.01,SRF_T07,
30.99,31.01,SRF_T08,
30.01,30.00,SRF_T09,
29.00,29.01,SRF_T10,
28.00,28.01,SRF_T11,
27.02,27.02,SRF_T12,
26.00,26.00,SRF_T13,
25.00,25.01,SRF_T15,
24.01,24.00,SRF_T16,
23.01,23.00,SRF_T17,
22.00,22.01,SRF_T18,
21.01,21.01,SRF_T19,
19.97,20.00,SRF_T20,
19.00,19.00,SRF_T21,
18.02,18.01,SRF_T22,
17.01,17.00,SRF_T24,
16.00,16.00,SRF_T25,
15.00,15.00,SRF_T26,
14.00,14.01,SRF_T27,
13.01,13.00,SRF_T28,
12.00,12.01,SRF_T29,
10.99,11.01,SRF_T30,
10.02,10.01,SRF_T31,
8.99,9.01,SRF_T32,
7.99,8.00,SRF_T33,
7.01,7.00,SRF_T34,
6.02,6.01,SRF_T35,
5.00,5.02,SRF_T36,
4.00,4.01,SRF_T38,
3.01,3.01,SRF_T40,SRF_T39
2.02,2.00,SRF_T41,
1.02,1.01,SRF_T42,